Time [s],Value,Parity Error,Framing Error
0.9059916000,0x00,,
0.9060781000,0x00,,
0.9061646000,0x00,,
0.9062511000,0x00,,
0.9063376000,0x00,,
0.9064241000,0x00,,
0.9065106000,0x00,,
0.9065972000,0x00,,
0.9066837000,0x00,,
0.9067702000,0x00,,
0.9068567000,0x00,,
0.9069432000,0x00,,
0.9070296000,0x00,,
0.9071160000,0x00,,
0.9072024000,0x00,,
0.9072888000,0x00,,
0.9073751000,0x00,,
0.9074615000,0x00,,
0.9075479000,0x00,,
0.9076343000,0x00,,
0.9077208000,0x00,,
0.9078072000,0x00,,
0.9078936000,0x00,,
0.9079801000,0x00,,
0.9080666000,0x00,,
0.9081531000,0x00,,
0.9082396000,0x00,,
0.9083261000,0x00,,
0.9084126000,0x00,,
0.9084991000,0x00,,
0.9085856000,0x00,,
0.9086721000,0x00,,
0.9087586000,0x00,,
0.9088451000,0x00,,
0.9089316000,0x00,,
0.9090182000,0x00,,
0.9091047000,0x00,,
0.9091912000,0x00,,
0.9092777000,0x00,,
0.9093642000,0x00,,
0.9094507000,0x00,,
0.9095372000,0x00,,
0.9096237000,0x00,,
0.9097102000,0x00,,
0.9097967000,0x00,,
0.9098832000,0x00,,
0.9099697000,0x00,,
0.9100563000,0x00,,
0.9315115000,0xB1,,
0.9315980000,0x00,,
0.9316845000,0x00,,
0.9317710000,0x00,,
0.9318575000,0x05,,
0.9319441000,0x00,,
0.9320306000,0x00,,
0.9321171000,0x00,,
0.9322036000,0x00,,
0.9322901000,0x00,,
0.9323767000,0x00,,
0.9324632000,0x00,,
0.9325497000,0x00,,
0.9326362000,0x00,,
0.9327227000,0x00,,
0.9328092000,0x00,,
0.9328957000,0x00,,
0.9329822000,0x00,,
0.9330687000,0x00,,
0.9331552000,0x00,,
0.9332417000,0x00,,
0.9333282000,0x00,,
0.9334147000,0x00,,
0.9335012000,0x00,,
0.9335877000,0x00,,
0.9336741000,0x00,,
0.9337606000,0x00,,
0.9338471000,0x00,,
0.9339335000,0x00,,
0.9340200000,0x00,,
0.9341065000,0x00,,
0.9341930000,0x00,,
0.9342795000,0x00,,
0.9343660000,0x00,,
0.9344525000,0x00,,
0.9345390000,0x00,,
0.9346255000,0x00,,
0.9347120000,0x00,,
0.9347985000,0x00,,
0.9348850000,0x00,,
0.9349715000,0x00,,
0.9350580000,0x00,,
0.9351445000,0x00,,
0.9352310000,0x00,,
0.9353175000,0x00,,
0.9354040000,0x00,,
0.9354904000,0x00,,
0.9355769000,0x00,,
0.9356634000,0x00,,
0.9357499000,0x00,,
0.9358363000,0x00,,
0.9359227000,0x00,,
0.9360092000,0x00,,
0.9360957000,0x00,,
0.9361821000,0x00,,
0.9362686000,0x00,,
0.9363551000,0x00,,
0.9364415000,0x00,,
0.9365280000,0x00,,
0.9366145000,0x00,,
0.9367010000,0x00,,
0.9367875000,0x00,,
0.9368740000,0x00,,
0.9369605000,0x00,,
0.9584308000,0xA2,,
0.9585173000,0x00,,
0.9586038000,0x00,,
0.9586903000,0x00,,
0.9587768000,0x07,,
0.9588632000,0x00,,
0.9589497000,0x00,,
0.9590362000,0x00,,
0.9591226000,0x00,,
0.9592091000,0x00,,
0.9592956000,0x00,,
0.9593821000,0x00,,
0.9594686000,0x00,,
0.9595551000,0x00,,
0.9596416000,0x00,,
0.9597281000,0x00,,
0.9598146000,0x00,,
0.9599011000,0x00,,
0.9599876000,0x00,,
0.9600742000,0x00,,
0.9601607000,0x00,,
0.9602472000,0x00,,
0.9603337000,0x00,,
0.9604202000,0x00,,
0.9605066000,0x00,,
0.9605931000,0x00,,
0.9606796000,0x00,,
0.9607661000,0x00,,
0.9608526000,0x00,,
0.9609391000,0x00,,
0.9610256000,0x00,,
0.9611120000,0x00,,
0.9611986000,0x00,,
0.9612851000,0x00,,
0.9613716000,0x00,,
0.9614581000,0x00,,
0.9615446000,0x00,,
0.9616311000,0x00,,
0.9617176000,0x00,,
0.9618041000,0x00,,
0.9618906000,0x00,,
0.9619771000,0x00,,
0.9620636000,0x00,,
0.9621502000,0x00,,
0.9622367000,0x00,,
0.9623232000,0x00,,
0.9624097000,0x00,,
0.9624962000,0x00,,
0.9625827000,0x00,,
0.9626692000,0x00,,
0.9627557000,0x00,,
0.9628422000,0x00,,
0.9629287000,0x00,,
0.9630153000,0x00,,
0.9631018000,0x00,,
0.9631883000,0x00,,
0.9632748000,0x00,,
0.9633613000,0x00,,
0.9634478000,0x00,,
0.9635343000,0x00,,
0.9636207000,0x00,,
0.9637072000,0x00,,
0.9637937000,0x00,,
0.9638803000,0x00,,
